ligand_symbol	receptor_symbol	label	weight	notes
# =========================
# IMMUNE (inherit all immune labels)
# =========================
*	*	IMMUNE_CONTEXT	1.0	All immune labels inherited from immune profile

# =========================
# ANGIOGENESIS / VASCULAR
# =========================
VEGFA	KDR	ANGIOGENIC_AXIS	1.0	VEGF
VEGFA	FLT1	ANGIOGENIC_AXIS	1.0	VEGF
VEGFB	FLT1	ANGIOGENIC_AXIS	1.0	VEGF
VEGFC	FLT4	ANGIOGENIC_AXIS	1.0	Lymphangiogenesis
ANGPT1	TEK	ANGIOGENIC_AXIS	1.0	Vessel stability
ANGPT2	TEK	ANGIOGENIC_AXIS	1.0	Vessel remodeling
EFNB2	EPHB4	ANGIOGENIC_AXIS	1.0	Endothelial guidance

# =========================
# ONCOGENIC GROWTH / RTK
# =========================
EGF	EGFR	ONCOGENIC_GROWTH	1.0	EGFR axis
AREG	EGFR	ONCOGENIC_GROWTH	1.0	EGFR ligand
HBEGF	EGFR	ONCOGENIC_GROWTH	1.0	EGFR ligand
TGFA	EGFR	ONCOGENIC_GROWTH	1.0	EGFR ligand
EREG	EGFR	ONCOGENIC_GROWTH	1.0	EGFR ligand
NRG1	ERBB3	ONCOGENIC_GROWTH	1.0	ERBB signaling
NRG1	ERBB4	ONCOGENIC_GROWTH	1.0	ERBB signaling
HGF	MET	ONCOGENIC_GROWTH	1.0	MET axis
IGF1	IGF1R	ONCOGENIC_GROWTH	1.0	IGF axis
IGF2	IGF1R	ONCOGENIC_GROWTH	1.0	IGF axis
FGF2	FGFR1	ONCOGENIC_GROWTH	1.0	FGF axis
FGF2	FGFR2	ONCOGENIC_GROWTH	1.0	FGF axis
PDGFA	PDGFRA	STROMA_SUPPORT	1.0	Fibroblast support
PDGFB	PDGFRB	STROMA_SUPPORT	1.0	Pericyte / stroma

# =========================
# RESISTANCE / EMT
# =========================
GAS6	AXL	RESISTANCE_AXIS	1.0	AXL resistance
GAS6	TYRO3	RESISTANCE_AXIS	1.0	TAM RTK
PROS1	AXL	RESISTANCE_AXIS	1.0	AXL resistance
PROS1	MERTK	RESISTANCE_AXIS	1.0	MERTK resistance
TGFB1	TGFBR1	EMT_AXIS	1.0	EMT
TGFB1	TGFBR2	EMT_AXIS	1.0	EMT

# =========================
# NOTCH / WNT / GUIDANCE
# =========================
JAG1	NOTCH1	NICHE_SIGNALING	1.0	NOTCH
JAG1	NOTCH2	NICHE_SIGNALING	1.0	NOTCH
DLL4	NOTCH1	NICHE_SIGNALING	1.0	Vascular notch
DLL4	NOTCH4	NICHE_SIGNALING	1.0	Vascular notch
WNT5A	FZD2	NICHE_SIGNALING	1.0	Non-canonical WNT
WNT5A	FZD5	NICHE_SIGNALING	1.0	Non-canonical WNT
WNT7A	FZD7	NICHE_SIGNALING	1.0	WNT
SEMA3A	PLXNA1	INVASION_GUIDANCE	1.0	Semaphorin
SEMA3A	NRP1	INVASION_GUIDANCE	1.0	Semaphorin
SEMA3E	PLXND1	INVASION_GUIDANCE	1.0	Vascular guidance
SLIT2	ROBO1	INVASION_GUIDANCE	1.0	Migration
SLIT2	ROBO2	INVASION_GUIDANCE	1.0	Migration
EFNA1	EPHA2	INVASION_GUIDANCE	1.0	Ephrin

# =========================
# ECM / ADHESION / NICHE
# =========================
FN1	ITGA5	ECM_REMODELING	1.0	Fibronectin
FN1	ITGB1	ECM_REMODELING	1.0
COL1A1	ITGA2	ECM_REMODELING	1.0	Collagen
COL1A1	ITGB1	ECM_REMODELING	1.0
COL4A1	ITGA1	ECM_REMODELING	1.0	Basement membrane
COL4A1	ITGB1	ECM_REMODELING	1.0
LAMC1	ITGA6	ECM_REMODELING	1.0	Laminin
LAMC1	ITGB1	ECM_REMODELING	1.0
VCAN	CD44	NICHE_AXIS	1.0	Proteoglycan niche
HAS2	CD44	NICHE_AXIS	1.0	Hyaluronan niche
SPP1	ITGAV	NICHE_AXIS	1.0	OPN niche
SPP1	ITGB5	NICHE_AXIS	1.0	OPN niche
